issue_id,district,sector,cell,date_reported,date_resolved,assigned_department,assigned_level,description,status,escalated,is_overdue,feedback_rating,feedback_comment
ISS-1454,Kicukiro,Kigarama,Kigarama II,22/03/2025,24/03/2025,public Safety,District,Damaged bridge making crossing difficult in the village center for 1 week.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1455,Kicukiro,Kigarama,Kigarama III,30/06/2025,12/7/2025,Education,District,Blocked drainage causing floods in the residential area for over a month.,Resolved,No,No,5,Good communication throughout.
ISS-1456,Nyarugenge,Nyamirambo,Rwezamenyo II,15/02/2025,18/02/2025,Water & sanitation,Sector,Public transport shortage during rush hours near the river for 2 months now.,Resolved,No,No,4,Took longer than expected.
ISS-1457,Nyarugenge,Nyamirambo,Rwezamenyo I,23/05/2025,29/05/2025,public Safety,Sector,Road full of potholes by the primary school for over a month.,Resolved,No,No,5,Service was quick and effective.
ISS-1458,Kicukiro,Gikondo,Gikondo,24/03/2025,18/04/2025,Health and Services ,Cell,Damaged bridge making crossing difficult in the residential area since the rainy season began.,Resolved,No,Yes,3,The issue is still not fully fixed.
ISS-1459,Nyarugenge,Kigali,Kiyovu,17/02/2025,15/03/2025,Social services,Cell,School lacks enough desks near the market for 1 week.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1460,Nyarugenge,Kigali,Kiyovu,19/06/2025,1/7/2025,Education,Cell,Electricity blackout in the neighborhood at the football field for 1 week.,Resolved,No,No,4,Took longer than expected.
ISS-1461,Nyarugenge,Kigali,Muhima,30/03/2025,28/04/2025,Health and Services ,District,Open sewage causing bad smell in the residential area for almost a year.,Resolved,No,Yes,2,Service was quick and effective.
ISS-1462,Nyarugenge,Kigali,Nyarugenge,19/05/2025,20/05/2025,public Safety,Sector,Overgrown bushes blocking footpaths next to the bus stop for 1 week.,Resolved,No,No,5,Good communication throughout.
ISS-1463,Nyarugenge,Kigali,Nyarugenge,19/02/2025,22/02/2025,Water & sanitation,District,Blocked drainage causing floods in the residential area for 1 week.,Resolved,No,No,4,Took longer than expected.
ISS-1464,Nyarugenge,Nyamirambo,Rwezamenyo II,11/6/2025,9/7/2025,Education,District,Electricity blackout in the neighborhood behind the local office for several weeks.,Resolved,No,Yes,4,Service was quick and effective.
ISS-1465,Gasabo,Kimironko,Kibagabaga,28/04/2025,30/04/2025,Education,Cell,Health post has no medicines next to the bus stop for 1 week.,Resolved,No,No,4,Service was quick and effective.
ISS-1466,Gasabo,Remera,Rukiri I,30/07/2025,8/8/2025,Health and Services ,District,Lack of waste bins in public areas behind the local office for 1 week.,Resolved,No,No,4,The issue is still not fully fixed.
ISS-1467,Kicukiro,Gikondo,Rwimbogo,22/06/2025,,Health and Services ,Sector,Public transport shortage during rush hours behind the local office for several weeks.,Open,No,Yes,,
ISS-1468,Nyarugenge,Nyamirambo,Rwezamenyo II,6/8/2025,,Health and Services ,District,Public transport shortage during rush hours near the market for 1 week.,Escalated,Yes,No,,
ISS-1469,Gasabo,Kimironko,Kibagabaga,14/03/2025,29/03/2025,Social services,Cell,Water shortage in the area by the primary school for almost a year.,Resolved,No,Yes,4,The issue is still not fully fixed.
ISS-1470,Nyarugenge,Nyamirambo,Rwezamenyo I,4/2/2025,2/3/2025,Social services,Cell,Public transport shortage during rush hours behind the local office since last week.,Resolved,No,Yes,3,"Poor handling, not happy."
ISS-1471,Gasabo,Kimironko,Kibagabaga,23/05/2025,,Health and Services ,District,Unfinished construction causing hazards near the river since last week.,Open,No,Yes,,
ISS-1472,Gasabo,Kimironko,Kibagabaga,23/02/2025,24/03/2025,Health and Services ,Sector,Damaged bridge making crossing difficult near the river since yesterday.,Resolved,No,Yes,3,Took longer than expected.
ISS-1473,Kicukiro,Kigarama,Kigarama I,2/8/2025,6/8/2025,Education,District,Noise pollution from nearby bars at the football field since yesterday.,Resolved,No,No,4,"Poor handling, not happy."
ISS-1474,Nyarugenge,Nyamirambo,Rwezamenyo II,16/03/2025,25/03/2025,Social services,Cell,Health post has no medicines next to the bus stop since last week.,Resolved,No,No,3,Took longer than expected.
ISS-1475,Nyarugenge,Kigali,Nyarugenge,17/06/2025,27/06/2025,Education,District,Garbage collection delay next to the bus stop for several weeks.,Resolved,No,No,5,Service was quick and effective.
ISS-1476,Gasabo,Kimironko,Nyagatovu,18/06/2025,7/7/2025,Water & sanitation,District,Broken streetlight in the residential area for several weeks.,Resolved,No,Yes,2,Good communication throughout.
ISS-1477,Nyarugenge,Kigali,Nyarugenge,22/03/2025,30/03/2025,Education,Cell,Poor internet connectivity in public offices at the main road for almost a year.,Resolved,No,No,5,"Poor handling, not happy."
ISS-1478,Nyarugenge,Kigali,Nyarugenge,7/7/2025,23/07/2025,Education,District,Poor internet connectivity in public offices behind the local office since this morning.,Resolved,No,Yes,4,The issue is still not fully fixed.
ISS-1479,Kicukiro,Gikondo,Rwimbogo,15/06/2025,12/7/2025,Health and Services ,Cell,Public transport shortage during rush hours by the primary school for 1 week.,Resolved,No,Yes,3,Took longer than expected.
ISS-1480,Nyarugenge,Nyamirambo,Rwezamenyo I,6/8/2025,7/8/2025,Health and Services ,Cell,Flooding in homes after rain in the village center for over a month.,Resolved,No,No,5,Good communication throughout.
ISS-1481,Gasabo,Remera,Rukiri II,1/5/2025,6/5/2025,Social services,District,Blocked drainage causing floods at the football field for 1 week.,Resolved,No,No,5,The issue is still not fully fixed.
ISS-1482,Gasabo,Kimironko,Bibare,24/01/2025,10/2/2025,Social services,District,Unsafe pedestrian crossing without signs by the primary school for almost a year.,Resolved,No,Yes,1,"Poor handling, not happy."
ISS-1483,Gasabo,Remera,Rukiri II,15/02/2025,6/3/2025,public Safety,Cell,Illegal dumping of waste near the health post since last week.,Resolved,No,Yes,2,"Poor handling, not happy."
ISS-1484,Nyarugenge,Kigali,Nyarugenge,1/3/2025,,Education,Sector,Flooding in homes after rain near the health post since the rainy season began.,In Progress,No,Yes,,
ISS-1485,Gasabo,Remera,Rukiri II,10/4/2025,25/04/2025,Social services,Sector,Blocked drainage causing floods in the village center since yesterday.,Resolved,No,Yes,1,Service was quick and effective.
ISS-1486,Nyarugenge,Kigali,Kiyovu,9/3/2025,28/03/2025,Water & sanitation,District,Overgrown bushes blocking footpaths behind the local office since yesterday.,Resolved,No,Yes,2,The issue is still not fully fixed.
ISS-1487,Nyarugenge,Kigali,Nyarugenge,6/3/2025,5/4/2025,Health and Services ,District,Broken streetlight by the primary school since yesterday.,Resolved,No,Yes,2,Good communication throughout.
ISS-1488,Kicukiro,Gikondo,Rwimbogo,2/1/2025,7/1/2025,public Safety,District,Poor internet connectivity in public offices near the river for 1 week.,Resolved,No,No,5,Took longer than expected.
ISS-1489,Gasabo,Remera,Rukiri II,17/02/2025,,Education,Cell,Blocked drainage causing floods in the village center for almost a year.,Escalated,Yes,Yes,,
ISS-1490,Nyarugenge,Nyamirambo,Rwezamenyo II,4/7/2025,,public Safety,Sector,Flooding in homes after rain behind the local office for over a month.,Escalated,Yes,Yes,,
ISS-1491,Kicukiro,Gikondo,Kanserege,2/8/2025,10/8/2025,Education,District,Damaged bridge making crossing difficult near the health post for 2 months now.,Resolved,No,No,3,Took longer than expected.
ISS-1492,Nyarugenge,Nyamirambo,Mumena,7/2/2025,,Health and Services ,District,Poor internet connectivity in public offices near the market for over a month.,In Progress,No,Yes,,
ISS-1493,Gasabo,Kimironko,Kibagabaga,6/7/2025,16/07/2025,Health and Services ,District,Illegal dumping of waste at the football field for 3 days.,Resolved,No,No,3,Took longer than expected.
ISS-1494,Kicukiro,Gikondo,Rwimbogo,3/6/2025,,Education,Sector,Public toilet not functioning near the river for 1 week.,Escalated,Yes,Yes,,
ISS-1495,Gasabo,Kimironko,Bibare,1/6/2025,,public Safety,District,Unfinished construction causing hazards behind the local office for almost a year.,In Progress,No,Yes,,
ISS-1496,Kicukiro,Kigarama,Kigarama I,9/8/2025,31/08/2025,Education,District,Lack of waste bins in public areas near the river since the rainy season began.,Resolved,No,Yes,4,Took longer than expected.
ISS-1497,Nyarugenge,Nyamirambo,Mumena,10/1/2025,28/01/2025,Social services,District,School lacks enough desks in the village center since yesterday.,Resolved,No,Yes,1,Service was quick and effective.
ISS-1498,Kicukiro,Kigarama,Kigarama III,16/06/2025,30/06/2025,Health and Services ,District,Electricity blackout in the neighborhood near the river since this morning.,Resolved,No,No,4,Service was quick and effective.
ISS-1499,Nyarugenge,Kigali,Kiyovu,31/05/2025,30/06/2025,public Safety,Sector,Lack of waste bins in public areas in the residential area since last week.,Resolved,No,Yes,1,The issue is still not fully fixed.
